"","Defence spending (current US$m)",,,"Defence spending per capita (current US$)",,,"Defence spending % of GDP",,,"Active armed forces (000)","Estimated reservists (000)","Active paramilitary (000)"
"Myanmar","1,915","2,132","2,107","34","38","37","2.87","3.11","2.97","406","0","107"
"Nepal","431","398","437","14","13","14","1.49","1.30","1.36","97","0","15"
"New Zealand","2,353","2,673","3,255","518","584","661","1.14","1.30","1.68","9","3","0"
"Pakistan","11,357","10,175","10,774","55","48","46","3.63","3.71","3.55","652","0","291"
"Papua New Guinea","63","79","94","9","11","13","0.26","0.32","0.40","4","0","0"
"Philippines","2,592","3,541","3,651","24","33","33","0.76","0.95","1.01","143","131","12"
"Singapore","10,944","11,339","10,887","1,825","1,858","1,753","2.93","3.05","3.23","51","253","8"
"Sri Lanka","1,795","1,666","1,589","80","73","69","2.03","1.98","1.96","255","6","62"
"Taiwan","10,864","11,010","13,867","461","467","587","1.79","1.80","2.18","163","1,657","12"
"Thailand","6,724","7,316","6,992","98","106","101","1.33","1.35","1.37","361","200","94"
"Timor-Leste","21","31","42","16","23","30","1.31","1.93","2.17","2","0","0"
"Vietnam*","4,784","5,221","5,681","49","53","58","1.58","1.59","1.68","482","5,000","40"
"Total **","417,873","433,925","457,588","281","289","292","2.09","2.13","2.27","9,327","13,295","3,585"
"Middle East and North Africa",,,,,,,,,,,,
"Algeria","9,591","10,306","9,922","230","243","231","5.52","6.09","6.73","130","150","187"
"Bahrain","1,409","1,411","1,405","977","957","934","3.74","3.66","4.06","8","0","11"
"Egypt","2,908","3,353","4,106","29","33","39","1.68","1.54","1.49","439","479","397"
"Iran","18,490","17,189","14,059","223","205","166","4.24","2.94","2.30","610","350","40"
"Iraq","7,956","9,855","10,267","198","239","264","3.64","4.39","5.76","193","0","148"
"Israel","16,245","16,804","16,644","1,928","1,965","1,918","5.22","5.09","5.20","170","465","8"
"Jordan","1,635","1,691","1,723","156","158","159","4.79","4.75","4.87","101","65","15"
"Kuwait","7,462","7,864","7,763","2,558","2,660","2,593","5.30","5.81","7.14","18","24","7"
"Lebanon","2,122","1,928","1,921","348","330","351","4.05","3.87","10.52","60","0","20"
"Libya","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k."
"Mauritania","159","161","196","41","41","49","2.26","2.12","2.64","16","0","5"
"Morocco","4,842","4,817","5,961","141","139","168","4.11","4.07","5.31","196","150","50"
"Oman","7,437","7,530","7,484","2,128","2,113","2,059","9.32","9.86","12.01","43","0","4"
"Palestinian Territories","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","n.k."
"Qatar","6,384","6,399","6,466","2,701","2,659","2,645","3.48","3.64","4.37","17","0","5"
"Saudi Arabia","58,133","50,933","48,533","1,757","1,514","1,420","7.39","6.42","7.13","227","0","25"
"Syria","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","169","0","100"
"Tunisia","881","999","1,145","76","86","98","2.38","2.79","3.02","36","0","12"
"United Arab Emirates","19,444","19,329","19,826","2,004","1,964","1,984","4.61","4.59","5.60","63","0","0"
"Yemen","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","40","0","0"
"Total**","165,097","160,568","157,420","969","957","942","4.48","4.48","5.51","2,533","1,683","1,034"
"Latin America and the Caribbean",,,,,,,,,,,,
"Antigua and Barbuda","7","7","8","74","74","80","0.44","0.43","0.57","0","0","0"
"Argentina","4,317","3,281","2,911","97","73","64","0.83","0.74","0.76","72","0","31"
"Bahamas","85","92","86","255","275","254","0.65","0.68","0.74","2","0","0"
"Barbados","40","38","41","138","131","138","0.79","0.74","0.88","1","0","0"
"Belize","23","23","25","60","59","61","1.29","1.27","1.58","2","1","0"
"Bolivia","503","479","479","44","42","41","1.24","1.16","1.23","34","0","37"
"Brazil","27,551","27,123","22,120","132","129","104","1.46","1.47","1.62","367","1,340","395"
"Chile","4,701","4,416","4,001","262","245","220","1.58","1.56","1.63","77","40","45"
"Colombia","10,570","10,216","9,404","219","210","192","3.18","3.17","3.56","293","35","188"
"Costa Rica","451","443","461","90","88","90","0.75","0.72","0.77","0","0","10"
"Cuba","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","49","39","27"
"Dominican Republic","603","616","584","59","59","56","0.70","0.69","0.75","56","0","15"
"Ecuador","1,698","1,590","1,545","103","95","91","1.58","1.48","1.66","41","118","1"
"El Salvador","141","145","172","23","23","27","0.55","0.54","0.69","25","10","17"
"Guatemala","255","341","365","15","20","21","0.35","0.45","0.48","18","64","25"
"Guyana","60","67","66","81","90","88","1.26","1.30","0.97","3","1","0"
"Haiti","8","13","10","1","1","1","0.13","0.15","0.12","1","0","0"
"Honduras","331","346","340","36","37","37","1.41","1.39","1.42","15","60","8"
"Jamaica","230","262","238","82","93","85","1.47","1.65","1.67","6","3","0"
"Mexico","5,314","5,067","5,266","42","40","41","0.44","0.40","0.51","216","82","112"
"Nicaragua","82","79","79","13","13","13","0.63","0.63","0.66","12","0","0"
"Panama","738","805","753","194","209","193","1.14","1.21","1.25","0","0","28"
"Paraguay","311","284","288","44","40","40","0.77","0.76","0.81","14","165","15"
"Peru","2,286","2,238","2,127","73","71","67","1.03","0.97","1.09","81","188","77"
"Suriname","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","2","0","0"
"Trinidad and Tobago","921","906","953","758","747","789","3.87","3.76","4.20","5","0","0"
"Uruguay","561","423","379","166","125","112","0.94","0.75","0.70","21","0","1"
"Venezuela","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","123","8","220"
"Total**","61,787","59,302","52,702","123","120","116","1.14","1.12","1.21","1,534","2,152","1,251"
"Sub-Saharan Africa",,,,,,,,,,,,
"Angola","2,158","1,607","1,035","71","51","32","2.04","1.80","1.65","107","0","10"
"Benin","90","68","56","8","6","4","0.63","0.47","0.36","7","0","5"
"Botswana","518","539","571","230","236","246","2.78","2.92","3.59","9","0","0"
"Burkina Faso","313","358","388","16","18","19","1.93","2.27","2.42","11","0","0"
"Burundi","65","63","62","6","5","5","2.05","2.03","1.99","30","0","21"
"Cameroon","430","422","408","17","16","15","1.11","1.09","1.05","25","0","9"
"Cape Verde","11","11","11","20","19","19","0.57","0.54","0.61","1","0","0"
"Central African Rep","31","32","41","5","6","7","1.36","1.42","1.75","9","0","1"
"Chad","182","205","269","12","13","16","1.65","1.88","2.56","33","0","12"
"Congo","293","300","306","58","58","58","2.18","2.39","3.07","10","0","2"
"Côte d'Ivoire","555","538","609","21","20","22","0.96","0.92","0.99","27","0","n.k."
"Dem Republic of the Congo","297","336","330","3","4","3","0.63","0.67","0.72","134","0","0"
"Djibouti","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","10","0","3"
"Equatorial Guinea","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","1","0","0"
"Eritrea","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","202","120","0"
"Ethiopia","437","516","472","4","5","4","0.55","0.56","0.49","138","0","0"
"Gabon","261","267","267","123","123","120","1.55","1.58","1.76","5","0","2"
"Gambia","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","4","0","0"
"Ghana","219","244","268","8","9","9","0.33","0.36","0.40","16","0","0"
"Guinea","197","195","206","17","16","16","1.62","1.42","1.45","10","0","3"
"Guinea-Bissau","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","4","0","0"
"Kenya","1,286","1,232","1,111","27","25","21","1.46","1.29","1.10","24","0","5"
"Lesotho","48","44","34","24","22","17","1.94","1.79","1.76","2","0","0"
"Liberia","13","14","12","3","3","2","0.40","0.44","0.40","2","0","0"
"Madagascar","73","77","112","3","3","4","0.53","0.54","0.79","14","0","8"
"Malawi","51","68","68","3","3","3","0.74","0.89","0.82","11","0","4"
"Mali","726","722","788","39","38","40","4.27","4.17","4.46","13","0","8"
"Mauritius","222","219","226","163","159","164","1.57","1.56","2.00","0","0","3"
"Mozambique","129","126","133","5","5","4","0.88","0.83","0.91","11","0","0"
"Namibia","450","407","344","178","158","131","3.32","3.26","3.36","10","0","6"
"Niger","230","172","202","12","8","9","1.79","1.33","1.56","5","0","5"
"Nigeria","1,750","1,827","2,568","9","9","12","0.44","0.41","0.58","143","0","80"
"Rwanda","107","112","127","9","9","10","1.11","1.11","1.22","33","0","2"
"Senegal","347","342","346","23","22","22","1.49","1.45","1.42","14","0","5"
"Seychelles","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","0"
"Sierra Leone","13","11","7","2","2","1","0.33","0.25","0.17","9","0","0"
"Somalia","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","20","0","0"
"South Africa","3,622","3,495","3,235","65","63","57","0.98","0.99","1.14","75","0","15"
"South Sudan","70","68","94","7","7","9","1.51","1.38","2.25","185","0","0"
"Sudan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","104","0","20"
"Tanzania","758","728","801","14","13","14","1.34","1.20","1.25","27","80","1"
"Togo","104","106","114","13","13","13","1.95","1.94","1.99","9","0","1"
"Uganda","393","547","953","10","13","22","1.17","1.50","2.53","45","10","1"
"Zambia","334","394","367","20","23","21","1.24","1.63","1.94","15","3","1"
"Zimbabwe","206","64","39","15","4","3","0.99","0.34","0.28","29","0","22"
"Total**","16,994","16,476","16,978","34","33","32","1.39","1.37","1.53","1,594","213","255"
"Summary",,,,,,,,,,,,
"North America","650,286","703,299","758,049","1,225","1,291","1,375","2.09","2.14","2.40","1,456","881","5"
"Europe","297,361","299,209","313,611","385","395","413","1.29","1.39","1.50","1,955","1,805","732"
"Russia and Eurasia","52,991","55,491","52,865","106","116","117","2.05","2.12","2.40","1,435","3,758","865"
"Asia","417,873","433,925","457,588","281","289","292","2.09","2.13","2.27","9,327","13,295","3,585"
"Middle East and North Africa","165,097","160,568","157,420","969","957","942","4.48","4.48","5.51","2,533","1,683","1,034"
"Latin America and the","61,787","59,302","52,702","123","120","116","1.14","1.12","1.21","1,534","2,152","1,251"
"Sub-Saharan Africa","16,994","16,476","16,978","34","33","32","1.39","1.37","1.53","1,594","213","255"
"Global totals","1,662,390","1,728,270","1,809,213","262","265","268","1.81","1.85","2.08","19,834","23,787","7,727"
