Canada,"15,738","18,563","18,235",445,521,508,1.02,1.12,1.05,67,27,5
United States,"593,371","598,722","643,266","1,831","1,833","1,954",3.17,3.07,3.14,"1,359",846,0
Total,,"617,285","661,501","1,695","1,704","1,812",3.01,2.92,2.97,"1,426",873,5
Europe,,,,,,,,,,,,
Albania,114,110,131,39,37,43,0.99,0.86,0.87,8,0,1
Austria,"2,888","3,158","3,384",331,361,385,0.74,0.76,0.74,21,158,0
Belgium,"3,861","4,513","4,984",338,393,431,0.83,0.91,0.93,27,0,5
Bosnia-Herzegovina,165,165,172,43,43,45,0.97,0.00,0.86,11,0,0
Bulgaria,671,677,724,94,95,103,1.26,1.19,1.14,31,3,0
Croatia,591,658,758,137,153,178,1.14,1.20,1.26,15,18,3
Cyprus,335,397,417,278,325,337,1.66,1.83,1.74,15,50,1
Czech Republic,"1,955","2,247","2,748",183,211,257,1.00,1.04,1.12,23,0,0
Denmark,"3,514","3,780","4,246",628,674,731,1.15,1.16,1.20,15,46,0
Estonia,499,544,641,396,434,515,2.14,2.09,2.17,6,28,0
Finland,"3,100","3,195","3,406",564,579,615,1.30,1.26,1.23,22,216,3
France,"46,784","48,699","53,365",700,726,792,1.90,1.88,1.91,204,36,103
Germany,"37,943","41,784","45,686",470,518,568,1.09,1.13,1.13,180,28,0
Greece,"4,598","4,731","4,896",427,439,455,2.39,2.36,2.25,142,221,4
Hungary,"1,061","1,290","1,637",107,131,167,0.84,0.93,1.05,28,20,12
Iceland,46,55,41,136,162,119,0.22,0.22,0.15,0,0,0
Ireland,994,"1,040","1,122",201,208,221,0.33,0.31,0.31,9,4,0
Italy,"22,112","22,887","24,870",357,368,400,1.19,1.18,1.19,171,18,176
Latvia,407,531,684,207,273,355,1.48,1.75,1.99,6,16,0
Lithuania,637,817,"1,057",223,289,378,1.49,1.73,2.02,20,7,14
Luxembourg,205,280,404,352,471,668,0.35,0.45,0.59,1,0,1
"Macedonia, North",106,114,125,50,54,59,0.99,1.01,1.01,8,5,8
Malta,58,64,70,139,155,156,0.51,0.51,0.49,2,0,0
Montenegro,68,75,79,106,117,129,1.56,1.57,1.47,2,0,10
Netherlands,"9,121","10,113","11,297",536,592,659,1.16,1.22,1.24,35,5,6
Norway,"6,000","6,196","6,798","1,140","1,165","1,265",1.62,1.55,1.54,23,40,0
Poland,"9,101","9,981","10,812",236,259,281,1.93,1.90,1.97,118,0,73
Portugal,"2,443","2,527","2,582",225,233,249,1.19,1.16,1.09,27,212,25
Romania,"2,763","3,643","4,631",128,169,216,1.46,1.72,1.93,69,50,57
Serbia,501,546,707,70,77,100,1.31,1.32,1.48,28,50,4
Slovakia,974,"1,118","1,283",179,205,236,1.09,1.16,1.20,16,0,0
Slovenia,446,474,532,225,240,253,1.00,0.97,0.97,7,2,0
Spain,"9,975","13,353","15,117",205,273,306,0.81,1.02,1.05,120,15,76
Sweden,"5,738","5,935","6,224",581,596,620,1.12,1.11,1.12,30,0,0
Switzerland,"4,653","4,786","4,972",569,581,600,0.69,0.70,0.70,21,135,0
Turkey,"8,664","7,885","7,897",108,98,97,1.00,0.93,1.11,355,379,157
United Kingdom*,"52,965","52,350","56,105",822,808,862,1.98,1.99,2.00,148,80,0
Total,"246,056","260,718","284,605",393,415,452,1.33,1.35,1.37,"1,966","1,841",738
Russia and Eurasia,,,,,,,,,,,,
Armenia,431,435,506,141,143,166,4.09,3.77,4.04,45,210,4
Azerbaijan,"1,395","1,554","1,611",141,156,160,3.69,3.82,3.53,67,300,15
Belarus,506,531,604,53,56,63,1.06,0.98,1.06,45,290,110
Georgia,319,307,322,65,62,65,2.22,2.02,1.93,21,0,5
Kazakhstan,"1,134","1,265","1,590",62,68,85,0.83,0.79,0.86,39,0,32
Kyrgyzstan,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,11,0,10
Moldova,27,31,37,8,9,11,0.34,0.32,0.32,5,58,2
Russia [a],"44,470","45,695","45,349",312,321,319,3.46,2.90,2.88,900,"2,000",554
Tajikistan,194,194,217,23,23,25,2.79,2.72,2.95,9,0,8
Turkmenistan,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,37,0,5
Ukraine,"2,555","2,798","3,272",58,64,74,2.74,2.50,2.59,209,900,88
Uzbekistan,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,n.k.,48,0,20
Total**,"51,033","52,811","53,509",179,185,187,2.91,2.54,2.51,"1,435","3,758",853
Asia,,,,,,,,,,,,
Afghanistan,"2,593","2,169","2,064",78,64,59,13.35,10.72,10.13,174,0,149
Australia,"23,617","24,446","26,555","1,027","1,052","1,131",1.87,1.77,1.86,58,21,0
Bangladesh,"2,629","2,930","3,159",17,19,20,1.12,1.12,1.10,157,0,64
Brunei,409,327,367,936,738,815,3.59,2.70,2.50,7,1,1
Cambodia,656,788,951,41,49,58,3.27,3.57,3.94,124,0,67
China,"143,668","151,455","168,202",104,109,121,1.28,1.26,1.25,"2,035",510,660
